Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Acroneuria sp1 FW_011","Animals","Predator",6,6,1
"Aelosoma sp1 FW_011","Animals","Prey",11,11,1
"Aelosoma sp1 FW_011","Animals","Predator",8,8,1
"Alloperla sp1 FW_011","Animals","Predator",1,1,1
"Anepeorus sp1 FW_011","Animals","Predator",8,8,1
"Antocha saxicola","Animals","Predator",8,8,1
"Baetis","Animals","Prey",4,4,2
"Baetis","Animals","Predator",9,9,2
"Boyeria vinosa","Animals","Predator",2,2,1
"Brook trout","Animals","Predator",8,8,1
"Bryophaenocladius sp1 FW_011","Animals","Prey",2,2,1
"Bryophaenocladius sp1 FW_011","Animals","Predator",4,4,1
"Cambarus bartonii","Animals","Predator",2,2,1
"Chauliodes sp1 FW_011","Animals","Prey",2,2,1
"Chauliodes sp1 FW_011","Animals","Predator",9,9,1
"Chimarra atterima","Animals","Prey",4,4,1
"Chimarra atterima","Animals","Predator",7,7,1
"Conchapelopia sp1 FW_011","Animals","Prey",4,4,1
"Conchapelopia sp1 FW_011","Animals","Predator",5,5,1
"Cryptolabis sp1 FW_011","Animals","Predator",2,2,1
"Cyrnellus sp1 FW_011","Animals","Predator",3,3,1
"Dicrotendipes sp1 FW_011","Animals","Prey",6,6,1
"Dicrotendipes sp1 FW_011","Animals","Predator",12,12,1
"Diplectrona modesta","Animals","Predator",8,8,2
"Ectopria nervosa","Animals","Prey",1,1,1
"Ectopria nervosa","Animals","Predator",9,9,1
"Endochironomous sp1 FW_011","Animals","Prey",7,7,1
"Endochironomous sp1 FW_011","Animals","Predator",3,3,1
"Ephemerella sp1 FW_011","Animals","Predator",2,2,1
"Eukieferiella pseudomontana","Animals","Prey",3,3,1
"Eukieferiella pseudomontana","Animals","Predator",3,3,1
"Eukiefferiella 'dark' type","Animals","Prey",1,1,1
"Eukiefferiella 'dark' type","Animals","Predator",7,7,1
"Glossosoma sp1 FW_011","Animals","Predator",3,3,1
"Gyraulus sp1 FW_011","Animals","Predator",10,10,1
"Haploperla brevis","Animals","Predator",2,2,1
"Hexatoma sp1 FW_011","Animals","Predator",6,6,1
"Hydrophilidae","Animals","Predator",2,2,2
