"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_gatv2_dropout","params_gatv2_heads","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold16_mae","user_attrs_fold16_mape","user_attrs_fold16_ndcg10","user_attrs_fold16_ndcg20","user_attrs_fold16_ndcg50","user_attrs_fold16_r2","user_attrs_fold17_mae","user_attrs_fold17_mape","user_attrs_fold17_ndcg10","user_attrs_fold17_ndcg20","user_attrs_fold17_ndcg50","user_attrs_fold17_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","system_attrs_completed_rung_2","state"
0,0.15166586725150838,"2025-05-16 21:33:36.596644","2025-05-16 21:34:03.668360","0 days 00:00:27.071716",208,80.0,160.0,"","",160,80.0,208.0,96.0,"",0.4,7,0.03999140202136075,3,4,0.15166586725150838,2195.5133272058824,0.2438618297524312,0.2883636979934047,0.3469001909937052,-0.35082507834715004,0.12427522242069244,337.7752380371094,0.17855799198150635,0.1929423213005066,0.3449734151363373,-0.10927188396453857,0.1250925362110138,1231.33837890625,0.024402735754847527,0.028759272769093513,0.04012559354305267,-0.07699024677276611,0.20200425386428833,116.6666030883789,0.37938931584358215,0.4339168965816498,0.3819175958633423,-0.40745580196380615,0.22209952771663666,66.39156341552734,0.38391774892807007,0.4002876281738281,0.3655586540699005,-0.8152487277984619,0.12078090757131577,90.24848937988281,0.18742690980434418,0.28259921073913574,0.2967640161514282,-0.3372666835784912,0.13728733360767365,62.56949234008789,0.42674726247787476,0.3965179920196533,0.4997186064720154,-0.5044188499450684,0.2486458122730255,102.41705322265625,0.4681253135204315,0.6776140928268433,0.5763584971427917,-0.5429959297180176,0.11181006580591202,76.82133483886719,0.16633036732673645,0.3710179030895233,0.43047839403152466,-0.3783010244369507,0.1852467954158783,62.31084442138672,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8054280281066895,0.21538443863391876,1069.86669921875,0.5616838932037354,0.40270331501960754,0.723856508731842,-0.4083535671234131,0.14129570126533508,55.33458709716797,0.15729229152202606,0.44170698523521423,0.5248095989227295,-0.4801141023635864,0.15693120658397675,53.436641693115234,0.14052796363830566,0.1728532761335373,0.4216603934764862,-0.4744216203689575,0.0895211398601532,31069.412109375,0.16561420261859894,0.14103548228740692,0.14870013296604156,-0.05353844165802002,0.10373378545045853,550.5635986328125,0.10077051818370819,0.16893522441387177,0.19974727928638458,-0.1568669080734253,0.15083810687065125,310.6003112792969,0.2870215177536011,0.26478341221809387,0.28005680441856384,-0.16165077686309814,0.1162991151213646,1821.62060546875,0.01697789691388607,0.00923118181526661,0.01368717197328806,-0.060149192810058594,0.12707379460334778,246.35301208496094,0.1929292529821396,0.17804193496704102,0.2638821005821228,-0.19155454635620117,10.0,"","","","COMPLETE"
1,0.15040530352031484,"2025-05-16 21:34:03.668808","2025-05-16 21:34:08.708385","0 days 00:00:05.039577",32,48.0,96.0,48.0,224.0,160,"","","","",0.5,2,0.00023721796904567616,5,1,0.15040530352031484,2005.421494876637,0.2890937829061466,0.3051006390767939,0.3740893291199909,-0.3116832130095538,0.12473352998495102,270.4671936035156,0.563217282295227,0.5077521800994873,0.5321412086486816,-0.05339372158050537,0.11557435244321823,200.68702697753906,0.506140410900116,0.5417546033859253,0.7178695201873779,-0.1380753517150879,0.19758272171020508,165.0651092529297,0.14098994433879852,0.12491021305322647,0.12778052687644958,-0.3154364824295044,0.2113853096961975,62.69117736816406,0.2248653620481491,0.1869843304157257,0.18199919164180756,-0.7291277647018433,0.1176762580871582,202.904541015625,0.09159292280673981,0.09973550587892532,0.10686103254556656,-0.03851640224456787,0.12077470123767853,86.93546295166016,0.06695360690355301,0.09034271538257599,0.12983492016792297,-0.23153162002563477,0.2412431240081787,201.3559112548828,0.05410712584853172,0.07742469012737274,0.091586634516716,-0.3307703733444214,0.10400325059890747,101.96747589111328,0.15082579851150513,0.16672591865062714,0.1796533763408661,-0.20763063430786133,0.18352307379245758,68.67268371582031,0.6248982548713684,0.5844570398330688,0.6564712524414062,-0.6374281644821167,0.210237056016922,1187.15625,0.30014798045158386,0.47240355610847473,0.6691147685050964,-0.33297717571258545,0.1919916868209839,88.28229522705078,0.17241643369197845,0.25084540247917175,0.4448080360889435,-1.026498556137085,0.16867701709270477,58.10389709472656,0.3750744163990021,0.4155435264110565,0.5440853238105774,-0.5726240873336792,0.08872982859611511,29061.220703125,0.4021974802017212,0.3636082410812378,0.3648938834667206,-0.06529009342193604,0.10269444435834885,469.16461181640625,0.39566829800605774,0.3664861023426056,0.4598312973976135,-0.18628978729248047,0.14377708733081818,108.96229553222656,0.371448814868927,0.39877617359161377,0.5873973369598389,-0.1805722713470459,0.10549112409353256,1555.6995849609375,0.44951847195625305,0.3806832432746887,0.28916192054748535,-0.015151500701904297,0.1287955939769745,202.82919311523438,0.024531705304980278,0.15827742218971252,0.2760283648967743,-0.23730063438415527,10.0,0.11741210520267487,0.128104105591774,0.12623809278011322,"COMPLETE"
2,0.1451418307774207,"2025-05-16 21:34:08.708814","2025-05-16 21:34:53.469901","0 days 00:00:44.761087",16,96.0,48.0,"","",96,240.0,64.0,"","",0.4,15,0.00147773302688812,3,3,0.1451418307774207,501.19321060180664,0.3602064189446323,0.3665760751156246,0.42524514391141777,-0.2609976565136629,0.13260582089424133,539.928955078125,0.22213700413703918,0.26419031620025635,0.34323596954345703,-0.01776421070098877,0.13221703469753265,1685.60205078125,0.923311173915863,0.8289721608161926,0.8013674020767212,-0.0016733407974243164,0.19818902015686035,165.2103271484375,0.44103357195854187,0.3718654215335846,0.32250386476516724,-0.3292675018310547,0.18471603095531464,62.93929672241211,0.37593668699264526,0.34324702620506287,0.3205067813396454,-0.44004344940185547,0.11604579538106918,114.32820892333984,0.1434168964624405,0.12872426211833954,0.16078783571720123,-0.23981893062591553,0.12432657182216644,77.41307067871094,0.11721774190664291,0.12069261074066162,0.1661996841430664,-0.32064223289489746,0.24600984156131744,144.3679656982422,0.20776249468326569,0.24540479481220245,0.24833765625953674,-0.48143160343170166,0.10330814868211746,102.47688293457031,0.3008023202419281,0.26750242710113525,0.31741464138031006,-0.2179858684539795,0.15401160717010498,48.88886642456055,0.4672817289829254,0.343354731798172,0.5946425199508667,-0.4653395414352417,0.20643167197704315,1705.4735107421875,0.4500700831413269,0.5868158936500549,0.7224341034889221,-0.2087259292602539,0.15065285563468933,56.21089172363281,0.15729229152202606,0.44170698523521423,0.5248095989227295,-0.6019681692123413,0.1311727613210678,56.68345260620117,0.615846574306488,0.6784813404083252,0.685130774974823,-0.11358964443206787,0.0928245484828949,1594.010986328125,0.6145649552345276,0.5712354779243469,0.5357827544212341,-0.29532134532928467,0.11642512679100037,93.0183334350586,0.2972313463687897,0.26174619793891907,0.39751049876213074,-0.605765700340271,0.15693935751914978,431.97900390625,0.5614088773727417,0.49132636189460754,0.4741891622543335,-0.08293700218200684,0.09583543986082077,1284.314208984375,0.02421559952199459,0.06336746364831924,0.1663256287574768,-0.018931865692138672,0.1256994903087616,357.4385681152344,0.20397977530956268,0.2231598049402237,0.4479885697364807,0.004246175289154053,10.0,0.11701096594333649,0.11658493429422379,0.11796840280294418,"COMPLETE"
3,0.12396886944770813,"2025-05-16 21:34:53.470380","2025-05-16 21:34:57.283051","0 days 00:00:03.812671",160,224.0,112.0,80.0,"",192,80.0,"","","",0.0,16,0.00018832336655700627,4,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.174384206533432,58.63786315917969,0.515975296497345,0.47609567642211914,0.587334156036377,-0.6399462223052979,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12396886944770813,"","","PRUNED"
4,30.81106185913086,"2025-05-16 21:34:57.283403","2025-05-16 21:35:06.972484","0 days 00:00:09.689081",16,224.0,"","","",208,160.0,224.0,240.0,"",0.1,12,0.037895233246918916,2,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18909868597984314,64.81400299072266,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8392711877822876,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",30.81106185913086,"","","PRUNED"
5,0.11839719861745834,"2025-05-16 21:35:06.972764","2025-05-16 21:35:14.235043","0 days 00:00:07.262279",32,80.0,16.0,80.0,"",256,"","","","",0.30000000000000004,15,0.0014758689514924894,4,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17073991894721985,61.32829666137695,0.20976755023002625,0.3968876600265503,0.5190182328224182,-0.5481538772583008,0.20616614818572998,1184.3477783203125,0.30591219663619995,0.5696820020675659,0.6791538000106812,-0.2872682809829712,0.1685933619737625,71.62261199951172,0.16072115302085876,0.20991894602775574,0.27621954679489136,-0.9067975282669067,0.15037229657173157,71.89048767089844,0.8109145164489746,0.7089452743530273,0.7160083651542664,-0.1447988748550415,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11698731034994125,0.11839719861745834,"","PRUNED"
6,0.12868435680866241,"2025-05-16 21:35:14.235315","2025-05-16 21:35:20.850273","0 days 00:00:06.614958",176,96.0,"","","",176,224.0,160.0,32.0,64.0,0.5,11,0.08191455064663733,2,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.19876734912395477,71.09718322753906,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.9272893667221069,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12868435680866241,"","","PRUNED"
7,0.11795127391815186,"2025-05-16 21:35:20.850568","2025-05-16 21:35:21.956072","0 days 00:00:01.105504",128,208.0,"","","",176,"","","","",0.1,6,0.00023718760855460005,2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18430976569652557,67.97834014892578,0.7145626544952393,0.7078849673271179,0.6768529415130615,-0.6514531373977661,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11795127391815186,"","","PRUNED"
8,0.11936704814434052,"2025-05-16 21:35:21.956316","2025-05-16 21:35:29.308141","0 days 00:00:07.351825",256,48.0,176.0,"","",224,32.0,176.0,224.0,"",0.30000000000000004,5,0.006877959733096616,3,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1623009443283081,50.866485595703125,0.3573644757270813,0.36841076612472534,0.5558909773826599,-0.5867496728897095,0.21353831887245178,1690.7005615234375,0.2580570578575134,0.3995153307914734,0.6149986982345581,-0.31152641773223877,0.15533894300460815,57.89903259277344,0.11386798322200775,0.16365516185760498,0.2709142565727234,-0.6657894849777222,0.13845792412757874,50.43035125732422,0.6501669883728027,0.7045488953590393,0.6872117519378662,-0.24190521240234375,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11657728254795074,0.11936704814434052,"","PRUNED"
9,0.11691603809595108,"2025-05-16 21:35:29.308429","2025-05-16 21:35:41.771089","0 days 00:00:12.462660",64,144.0,240.0,"","",80,16.0,256.0,208.0,16.0,0.2,10,0.000867069928398134,3,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15261276066303253,46.52956008911133,0.46207907795906067,0.4722747504711151,0.5227184295654297,-0.4976480007171631,0.21442703902721405,1742.8399658203125,0.23864343762397766,0.4040030539035797,0.586087167263031,-0.3113037347793579,0.18643848598003387,84.17229461669922,0.8382712602615356,0.8208042979240417,0.8345683217048645,-0.95393967628479,0.13431911170482635,58.36659622192383,0.7042880654335022,0.6949751377105713,0.7197082042694092,-0.17223060131072998,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11470136046409607,0.11691603809595108,"","PRUNED"
