"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold16_mae","user_attrs_fold16_mape","user_attrs_fold16_ndcg10","user_attrs_fold16_ndcg20","user_attrs_fold16_ndcg50","user_attrs_fold16_r2","user_attrs_fold17_mae","user_attrs_fold17_mape","user_attrs_fold17_ndcg10","user_attrs_fold17_ndcg20","user_attrs_fold17_ndcg50","user_attrs_fold17_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","system_attrs_completed_rung_2","state"
0,0.14580544654060812,"2025-05-16 21:29:31.030800","2025-05-16 21:29:35.788158","0 days 00:00:04.757358",16,16.0,144.0,144.0,"",176,16.0,"","","",0.0017093973467005963,4,2,0.14580544654060812,939.5958996941062,0.44418861848466534,0.42842351338442636,0.4708326590411803,-0.1783404841142542,0.13057632744312286,522.9645385742188,0.3645646572113037,0.33621373772621155,0.5166104435920715,0.03385639190673828,0.17241635918617249,3331.80224609375,0.9281184077262878,0.787708580493927,0.7255935668945312,0.06819403171539307,0.1991468369960785,273.9022521972656,0.3686966001987457,0.3777211010456085,0.3386676609516144,-0.15240800380706787,0.1871267855167389,66.02672576904297,0.29088708758354187,0.29613012075424194,0.26133453845977783,-0.47727274894714355,0.11615820229053497,190.9701690673828,0.44873225688934326,0.3598051369190216,0.35772213339805603,-0.04066181182861328,0.12227879464626312,80.60679626464844,0.1703730970621109,0.16295158863067627,0.21893882751464844,-0.2515789270401001,0.23707063496112823,163.98036193847656,0.27887752652168274,0.3658716678619385,0.3798779249191284,-0.3358997106552124,0.10174842178821564,145.02566528320312,0.27082058787345886,0.26304003596305847,0.2954854369163513,-0.040610313415527344,0.15340352058410645,53.26131057739258,0.4601356089115143,0.5547488331794739,0.615432620048523,-0.338792085647583,0.2091619074344635,1109.8763427734375,0.5952823758125305,0.6058430671691895,0.7454783916473389,-0.31076574325561523,0.17349278926849365,78.3809814453125,0.5948122143745422,0.6263243556022644,0.6593359112739563,-0.6736605167388916,0.12659665942192078,56.29826736450195,0.7797608971595764,0.7113555669784546,0.7673822045326233,0.055503010749816895,0.08477424830198288,7699.54150390625,0.5797997117042542,0.5399802923202515,0.5261335372924805,-0.12794935703277588,0.10310585796833038,374.49749755859375,0.3014308512210846,0.3322203755378723,0.4205758273601532,-0.26517677307128906,0.14606721699237823,276.8332824707031,0.4175824522972107,0.38633257150650024,0.4095369875431061,-0.09632349014282227,0.09206108003854752,1223.0257568359375,0.23445704579353333,0.19284459948539734,0.19083695113658905,-0.02918541431427002,0.12350694835186005,326.1365966796875,0.4668751358985901,0.3841080963611603,0.5752122402191162,-0.0490567684173584,10.0,"","","","COMPLETE"
1,0.1487953798735843,"2025-05-16 21:29:35.788640","2025-05-16 21:29:38.806836","0 days 00:00:03.018196",48,112.0,"","","",144,"","","","",0.03804062906466792,2,1,0.1487953798735843,1527.9539830824908,0.32265395276686726,0.3466066937236225,0.39163880181663174,-0.18777002306545482,0.12452644854784012,309.07098388671875,0.1323951780796051,0.1931830197572708,0.2163333296775818,-0.18760502338409424,0.13690844178199768,1912.524658203125,0.5445435643196106,0.581760048866272,0.6289207339286804,0.09938257932662964,0.1994164139032364,290.8199462890625,0.23460723459720612,0.22105839848518372,0.3590317368507385,-0.1217961311340332,0.18504168093204498,65.84370422363281,0.2772233784198761,0.31865745782852173,0.27039191126823425,-0.4358910322189331,0.11950928717851639,208.97242736816406,0.08829353749752045,0.15671971440315247,0.1879381537437439,-0.031161904335021973,0.12343576550483704,113.8234634399414,0.39387959241867065,0.3945208787918091,0.4444385766983032,-0.09233415126800537,0.24348881840705872,169.92144775390625,0.12590652704238892,0.16520844399929047,0.19975338876247406,-0.39459657669067383,0.11143570393323898,184.93780517578125,0.379121333360672,0.34492942690849304,0.3231467008590698,-0.05096471309661865,0.19289933145046234,67.27429962158203,0.19848723709583282,0.27448293566703796,0.36790844798088074,-0.9356515407562256,0.22612757980823517,491.2256164550781,0.434854656457901,0.6113938689231873,0.7158351540565491,-0.48411571979522705,0.13350322842597961,66.66667175292969,0.7035865187644958,0.6201493740081787,0.6903961300849915,0.02837085723876953,0.14136403799057007,70.97463989257812,0.5931961536407471,0.6127131581306458,0.7045311331748962,0.024114787578582764,0.08627171814441681,19408.474609375,0.6873328685760498,0.6292986869812012,0.523638129234314,0.010752439498901367,0.10067462176084518,396.35723876953125,0.20522402226924896,0.25353363156318665,0.341700941324234,-0.19022142887115479,0.14467063546180725,302.7172546386719,0.2122734636068344,0.28380170464515686,0.4041704535484314,-0.019958138465881348,0.10881306976079941,1633.943603515625,0.17673584818840027,0.12044181674718857,0.07323504239320755,-0.033966064453125,0.15143467485904694,281.6693420410156,0.09745608270168304,0.11046122759580612,0.2064896672964096,-0.3764486312866211,10.0,0.11866556853055954,0.11434721201658249,0.11326628923416138,"COMPLETE"
2,0.11480129510164261,"2025-05-16 21:29:38.807247","2025-05-16 21:29:40.525840","0 days 00:00:01.718593",32,128.0,64.0,80.0,112.0,208,192.0,80.0,"","",0.0014221372699296355,5,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15471938252449036,53.58414077758789,0.4793028235435486,0.48123884201049805,0.6584327220916748,-0.3839104175567627,0.21145346760749817,2013.7265625,0.474486768245697,0.49775537848472595,0.7167339324951172,-0.18747198581695557,0.15417876839637756,66.26597595214844,0.6921477913856506,0.6794536709785461,0.711965024471283,-0.3985581398010254,0.13023699820041656,68.92658996582031,0.4535335600376129,0.549776554107666,0.64598149061203,0.06095379590988159,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11144930869340897,0.11480129510164261,"","PRUNED"
3,0.1497278384426061,"2025-05-16 21:29:40.526111","2025-05-16 21:29:44.736593","0 days 00:00:04.210482",96,"","","","",256,112.0,"","","",0.004488090421954715,1,2,0.1497278384426061,1656.0861737868365,0.44893695501720204,0.43991976275163536,0.4731780132826637,-0.1740166790345136,0.12313633412122726,464.10479736328125,0.33408185839653015,0.37559887766838074,0.5669927000999451,0.04191058874130249,0.222165048122406,5032.19970703125,0.8765122890472412,0.6725592017173767,0.6615839600563049,-0.14444100856781006,0.19869256019592285,260.00445556640625,0.5425297021865845,0.6196154356002808,0.4576609134674072,-0.17466557025909424,0.19074764847755432,67.88960266113281,0.3404923975467682,0.32407236099243164,0.2609867751598358,-0.5113502740859985,0.1187874898314476,206.4180908203125,0.07848319411277771,0.13257305324077606,0.19384630024433136,-0.0230635404586792,0.12719188630580902,114.38894653320312,0.15073451399803162,0.15804962813854218,0.17898572981357574,-0.19977593421936035,0.23502573370933533,129.87258911132812,0.6812229752540588,0.6230262517929077,0.4924412667751312,-0.36953210830688477,0.10332635045051575,157.2850341796875,0.28880512714385986,0.2632714807987213,0.32287710905075073,-0.0154571533203125,0.15721076726913452,55.1434440612793,0.4872611463069916,0.540767252445221,0.6176011562347412,-0.3623030185699463,0.20839917659759521,1282.13916015625,0.3691956102848053,0.5317889451980591,0.695504903793335,-0.28914713859558105,0.17821213603019714,80.56779479980469,0.6735665202140808,0.6610574126243591,0.6758265495300293,-0.7526218891143799,0.12482935935258865,60.58057403564453,0.8132465481758118,0.7269535660743713,0.7670125961303711,0.18093305826187134,0.08751554042100906,18178.033203125,0.3755536377429962,0.36854860186576843,0.5149286389350891,-0.06665503978729248,0.10570292919874191,272.372802734375,0.29873842000961304,0.28618982434272766,0.38722673058509827,-0.3584517240524292,0.1480516493320465,305.5859680175781,0.4094977378845215,0.4030035138130188,0.42212778329849243,-0.056362152099609375,0.07705467939376831,855.81787109375,0.4365224540233612,0.40166231989860535,0.3221595585346222,0.0387113094329834,0.13932396471500397,631.0609130859375,0.47548410296440125,0.38989824056625366,0.5062635540962219,0.10398805141448975,10.0,0.10975310951471329,0.11237138509750366,0.11046285182237625,"COMPLETE"
4,0.11546839773654938,"2025-05-16 21:29:44.737005","2025-05-16 21:29:45.563760","0 days 00:00:00.826755",224,"","","","",224,16.0,80.0,96.0,64.0,0.01050280071120384,1,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14743104577064514,47.58847427368164,0.37636494636535645,0.4442485570907593,0.5791943073272705,-0.37279176712036133,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11546839773654938,"","","PRUNED"
5,0.11306833475828171,"2025-05-16 21:29:45.564026","2025-05-16 21:29:46.444836","0 days 00:00:00.880810",112,32.0,64.0,96.0,192.0,128,192.0,256.0,208.0,"",0.0011308693140671504,5,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15302155911922455,47.44973373413086,0.39131978154182434,0.34886398911476135,0.5536311268806458,-0.4688434600830078,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11306833475828171,"","","PRUNED"
6,0.1459878954817267,"2025-05-16 21:29:46.445121","2025-05-16 21:29:51.038422","0 days 00:00:04.593301",208,256.0,160.0,32.0,256.0,224,"","","","",0.0030957508591845056,5,1,0.1459878954817267,2124.1605428807875,0.5203622548895723,0.5004873512422338,0.5086226016283035,-0.10021372753031113,0.125107079744339,447.04913330078125,0.4578936994075775,0.5390246510505676,0.5478708148002625,0.06921666860580444,0.184805229306221,5083.61279296875,0.8178775310516357,0.7064026594161987,0.6869921088218689,-0.07197296619415283,0.1946292221546173,215.34576416015625,0.9905210733413696,0.7286696434020996,0.47925031185150146,-0.19300341606140137,0.1871049702167511,66.56127166748047,0.11148478090763092,0.13682954013347626,0.20314852893352509,-0.44584834575653076,0.11381227523088455,177.978271484375,0.34381428360939026,0.3096611499786377,0.3470531105995178,-0.03356301784515381,0.13192994892597198,138.2630157470703,0.11770349740982056,0.14323237538337708,0.1920366883277893,-0.16941165924072266,0.23733748495578766,206.29818725585938,0.9242525696754456,0.7967948317527771,0.522632360458374,-0.27117085456848145,0.11120515316724777,194.39404296875,0.2833198606967926,0.25110793113708496,0.29189905524253845,-0.002917051315307617,0.15087665617465973,51.167232513427734,0.7950044274330139,0.7027497887611389,0.7020012140274048,-0.32820892333984375,0.20522378385066986,1127.815673828125,0.6798027157783508,0.7012308239936829,0.8361823558807373,-0.23073875904083252,0.15925435721874237,74.36930847167969,0.8307628035545349,0.7522013187408447,0.7546882033348083,-0.38185691833496094,0.13678611814975739,69.28545379638672,0.48885372281074524,0.5655622482299805,0.6850861310958862,0.06865769624710083,0.0976194366812706,25896.58203125,0.3285336196422577,0.3675343990325928,0.4360720217227936,-0.05640983581542969,0.10132654756307602,524.4194946289062,0.20988798141479492,0.25635388493537903,0.3963577151298523,-0.050579071044921875,0.14460280537605286,260.8348388671875,0.4536639451980591,0.4598921537399292,0.5721237063407898,-0.06881272792816162,0.09688493609428406,1332.8663330078125,0.04292621463537216,0.23433130979537964,0.22088339924812317,0.038417696952819824,0.10328821837902069,243.88638305664062,0.9698556065559387,0.8567062616348267,0.772306501865387,0.4245681166648865,10.0,0.10816533118486404,0.10959752649068832,0.10995735228061676,"COMPLETE"
7,0.11787405610084534,"2025-05-16 21:29:51.038860","2025-05-16 21:29:51.973277","0 days 00:00:00.934417",80,224.0,176.0,"","",144,96.0,32.0,112.0,32.0,0.005289491244157991,3,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14871476590633392,50.85923767089844,0.29774728417396545,0.3351115882396698,0.5964555740356445,-0.34188342094421387,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11787405610084534,"","","PRUNED"
8,0.11215116083621979,"2025-05-16 21:29:51.973548","2025-05-16 21:29:52.618419","0 days 00:00:00.644871",224,"","","","",256,176.0,64.0,"","",0.0035641583096300104,1,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15740986168384552,54.628936767578125,0.6725317239761353,0.6328972578048706,0.6682506203651428,-0.3687565326690674,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11215116083621979,"","","PRUNED"
9,0.11485189199447632,"2025-05-16 21:29:52.618669","2025-05-16 21:29:53.493949","0 days 00:00:00.875280",160,224.0,256.0,160.0,"",144,48.0,16.0,112.0,"",0.005931794520453434,4,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13366098701953888,43.3053092956543,0.73736572265625,0.7171400785446167,0.6838436126708984,-0.1855558156967163,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11485189199447632,"","","PRUNED"
