"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_graphsage_aggregator","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold16_mae","user_attrs_fold16_mape","user_attrs_fold16_ndcg10","user_attrs_fold16_ndcg20","user_attrs_fold16_ndcg50","user_attrs_fold16_r2","user_attrs_fold17_mae","user_attrs_fold17_mape","user_attrs_fold17_ndcg10","user_attrs_fold17_ndcg20","user_attrs_fold17_ndcg50","user_attrs_fold17_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","system_attrs_completed_rung_2","state"
0,0.4397042336709359,"2025-05-16 21:05:33.829598","2025-05-16 21:05:37.524477","0 days 00:00:03.694879",112,"","","","",96,224.0,16.0,160.0,"","add",0.00017579176283327822,1,4,0.4397042336709359,12518.320328656366,0.29934051912277937,0.3048119571826914,0.3495621247874463,-158.06017874970155,0.19328583776950836,837.7261962890625,0.04876312240958214,0.06178535148501396,0.07095099240541458,-0.4802943468093872,0.6336976289749146,14571.255859375,0.04277973249554634,0.033984798938035965,0.05362187325954437,-22.24213218688965,0.18347926437854767,242.15380859375,0.9992663860321045,0.9995265007019043,0.7958527207374573,0.05854916572570801,0.1891831010580063,59.66029357910156,0.2631544768810272,0.24525348842144012,0.2940008044242859,-0.5227694511413574,0.10689633339643478,129.70103454589844,0.9885482788085938,0.822569727897644,0.7612832188606262,0.08880490064620972,0.1064862459897995,70.30502319335938,0.9177817702293396,0.8454252481460571,0.8498961925506592,0.0248144268989563,0.24553558230400085,161.01071166992188,0.07232856750488281,0.06292591243982315,0.08184986561536789,-0.4533214569091797,0.09808952361345291,126.68473815917969,0.5867307186126709,0.5981845259666443,0.721825897693634,0.0005205869674682617,0.2052185982465744,108.30158233642578,0.1336773782968521,0.17309747636318207,0.2454090565443039,-1.365654468536377,0.21731306612491608,2494.365966796875,0.3165234625339508,0.45869648456573486,0.6335110664367676,-0.08740007877349854,0.13137447834014893,69.40348815917969,0.27563655376434326,0.3243192434310913,0.6086528301239014,-0.16639173030853271,0.168461412191391,89.04705047607422,0.11527314782142639,0.1261889934539795,0.21777461469173431,-0.4783831834793091,0.1847764402627945,92393.5859375,0.012433137744665146,0.04514864832162857,0.06727156043052673,-1.7488641738891602,0.11028733104467392,777.0809326171875,0.2087222933769226,0.2472706437110901,0.28851500153541565,-0.061952948570251465,0.1885174959897995,773.2320556640625,0.02678978443145752,0.03917756304144859,0.11115650087594986,-0.06953513622283936,4.196723937988281,98353.546875,0.007894403301179409,0.007678587920963764,0.007513643242418766,-2656.955810546875,0.315645694732666,1554.384033203125,0.07248561084270477,0.09057007730007172,0.13347028195858002,-2.563218116760254,5.0,"","","","COMPLETE"
1,0.16196728979839997,"2025-05-16 21:05:37.524897","2025-05-16 21:05:41.257251","0 days 00:00:03.732354",96,16.0,"","","",144,112.0,64.0,160.0,"","add",0.00461765280105595,2,4,0.16196728979839997,2240.562215917251,0.7868305929826901,0.7565512312028337,0.7319472123430494,-1.249144773272907,0.11376756429672241,298.9911193847656,0.7673513293266296,0.7244699001312256,0.7070315480232239,0.20514696836471558,0.2649541199207306,4970.9775390625,0.9401841163635254,0.8943666815757751,0.8860889077186584,-0.517288327217102,0.1675959974527359,279.4754333496094,0.9992663860321045,0.9994940757751465,0.7914703488349915,0.3307398557662964,0.1106238141655922,55.24050521850586,1.0,1.0,0.8986807465553284,0.5883386433124542,0.09776095300912857,135.9261932373047,1.0,0.8213062882423401,0.7535682320594788,0.3970848321914673,0.10360581427812576,74.1146240234375,0.9351264834403992,0.8641533851623535,0.8528013825416565,0.09535908699035645,0.19647827744483948,111.53077697753906,1.0,1.0,0.9611378908157349,0.13448679447174072,0.07682743668556213,110.83980560302734,0.8911404609680176,0.8341540694236755,0.8295255899429321,0.5278533697128296,0.19478127360343933,80.6397933959961,0.7982128262519836,0.7843760848045349,0.8163572549819946,-0.5482381582260132,0.17002905905246735,408.4293212890625,0.8236457109451294,0.8562268018722534,0.9037801623344421,-0.02518761157989502,0.11417292058467865,55.402767181396484,0.8744117021560669,0.8650990724563599,0.8856942057609558,0.30847132205963135,0.16164858639240265,73.35696411132812,0.7297470569610596,0.7587151527404785,0.7218534350395203,-0.1803814172744751,0.0833020955324173,17083.611328125,0.7975342869758606,0.7458769083023071,0.7165120840072632,0.30418646335601807,0.10399659723043442,351.4824523925781,0.10077051818370819,0.16893522441387177,0.19974727928638458,-0.2950330972671509,0.122934490442276,173.15492248535156,0.8151438236236572,0.7720012664794922,0.7739303112030029,0.18567776679992676,0.5544091463088989,13415.470703125,0.005000000353902578,0.004816317930817604,0.005060192663222551,-23.14078140258789,0.11655578017234802,410.9134216308594,0.8985853791236877,0.7673797011375427,0.7398630380630493,0.3941037654876709,5.0,0.10602355748414993,0.12639819085597992,0.09807533770799637,"COMPLETE"
2,0.13253536820411682,"2025-05-16 21:05:41.257701","2025-05-16 21:05:41.557718","0 days 00:00:00.300017",32,128.0,64.0,80.0,"",48,"","","","","add",0.00013334062300080266,4,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.22159966826438904,86.61972045898438,0.17275016009807587,0.2240058332681656,0.37514424324035645,-1.1293847560882568,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13253536820411682,"","","PRUNED"
3,0.11889370530843735,"2025-05-16 21:05:41.558000","2025-05-16 21:05:41.839084","0 days 00:00:00.281084",192,"","","","",160,"","","","","max",0.041015638546389295,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.19406268000602722,68.03987884521484,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8839125633239746,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11889370530843735,"","","PRUNED"
4,0.11340668797492981,"2025-05-16 21:05:41.839326","2025-05-16 21:05:42.156639","0 days 00:00:00.317313",208,"","","","",240,"","","","","mean",0.00180276905343118,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15924526751041412,60.12080383300781,0.7390024662017822,0.7177967429161072,0.743515133857727,-0.24164128303527832,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11340668797492981,"","","PRUNED"
5,0.11014779657125473,"2025-05-16 21:05:42.156877","2025-05-16 21:05:46.105259","0 days 00:00:03.948382",144,"","","","",192,256.0,240.0,80.0,160.0,"add",0.006341637586109525,1,5,"","","","","","",0.1125403642654419,342.422119140625,0.261785626411438,0.48967456817626953,0.5485901236534119,0.23923486471176147,0.11015735566616058,520.6093139648438,0.9529625773429871,0.82787024974823,0.8595794439315796,-0.026134133338928223,0.1961657702922821,147.19480895996094,0.3161771297454834,0.3594531714916229,0.393263041973114,-0.3112156391143799,0.2081603854894638,60.529090881347656,1.0,1.0,0.8987207412719727,-0.6716052293777466,0.10487501323223114,113.86439514160156,1.0,0.9116520285606384,0.8043484687805176,0.3007729649543762,0.09718551486730576,62.03509521484375,0.9052444696426392,0.875598132610321,0.8437979221343994,0.2982398271560669,0.2484690248966217,123.31825256347656,0.07514775544404984,0.07828407734632492,0.08724375069141388,-0.523908257484436,"","","","","","",0.12993529438972473,55.04304122924805,0.6162167191505432,0.6703907251358032,0.7629964351654053,0.19522517919540405,0.1991289108991623,2571.56396484375,0.6887324452400208,0.6193172335624695,0.8479926586151123,-0.07606744766235352,0.11338216811418533,63.502418518066406,0.6963827610015869,0.7581627368927002,0.7794803977012634,0.026858866214752197,0.16902552545070648,58.5212516784668,0.2293015569448471,0.37616124749183655,0.5404487252235413,-0.5735867023468018,0.07972708344459534,17231.17578125,0.8027818202972412,0.7552010416984558,0.7337262630462646,0.19718927145004272,0.1017407774925232,913.4091186523438,0.40216541290283203,0.4583442509174347,0.5620043277740479,0.1168900728225708,0.14800414443016052,445.1368408203125,0.649395227432251,0.617794930934906,0.6467541456222534,0.10804831981658936,0.0716557428240776,567.0317993164062,0.8547046184539795,0.7613239884376526,0.6052951216697693,0.2450122833251953,0.122932568192482,217.5519256591797,0.43689584732055664,0.6166343688964844,0.6402793526649475,0.03634566068649292,"",0.1036301702260971,0.10798296332359314,0.11014779657125473,"PRUNED"
6,0.11170130223035812,"2025-05-16 21:05:46.105586","2025-05-16 21:05:46.561196","0 days 00:00:00.455610",256,160.0,48.0,96.0,"",112,192.0,"","","","max",0.0004196098082494015,4,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13385649025440216,43.20193862915039,0.8002113699913025,0.7564857602119446,0.745354413986206,-0.15757489204406738,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11170130223035812,"","","PRUNED"
7,0.1050250306725502,"2025-05-16 21:05:46.561475","2025-05-16 21:05:46.993119","0 days 00:00:00.431644",80,64.0,240.0,224.0,144.0,224,"","","","","max",0.009798437362549622,5,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1409996747970581,58.43168640136719,0.8190646171569824,0.7468838691711426,0.7061949968338013,0.01161116361618042,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1050250306725502,"","","PRUNED"
8,0.1213451698422432,"2025-05-16 21:05:46.993401","2025-05-16 21:05:47.354984","0 days 00:00:00.361583",256,128.0,"","","",256,"","","","","mean",0.035449488938636795,2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17331302165985107,71.55331420898438,0.40872669219970703,0.4119047224521637,0.5646155476570129,-0.38696813583374023,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1213451698422432,"","","PRUNED"
9,0.11376096308231354,"2025-05-16 21:05:47.355249","2025-05-16 21:05:47.963341","0 days 00:00:00.608092",96,160.0,144.0,"","",80,240.0,48.0,224.0,128.0,"max",0.015264298648079206,3,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18997545540332794,73.34014892578125,0.4596903622150421,0.5915595889091492,0.6687636375427246,-0.6799753904342651,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11376096308231354,"","","PRUNED"
10,0.1716173142194748,"2025-05-16 21:05:47.963691","2025-05-16 21:05:48.358385","0 days 00:00:00.394694",16,16.0,256.0,"","",16,64.0,128.0,"","","add",0.0009370684623738711,3,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13674093782901764,44.83795166015625,0.7679851651191711,0.7769212126731873,0.8493507504463196,-0.11967635154724121,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1716173142194748,"","","PRUNED"
11,0.15526440739631653,"2025-05-16 21:05:48.358652","2025-05-16 21:05:48.819149","0 days 00:00:00.460497",112,224.0,"","","",128,112.0,16.0,176.0,"","add",0.0001381038175693536,2,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1521586924791336,52.3249397277832,0.7319151163101196,0.7421083450317383,0.7702762484550476,-0.2868022918701172,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15526440739631653,"","","PRUNED"
12,0.10873327404260635,"2025-05-16 21:05:48.819450","2025-05-16 21:05:49.249175","0 days 00:00:00.429725",144,16.0,"","","",160,144.0,80.0,128.0,"","add",0.002538399073326041,2,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1428728699684143,52.93939208984375,0.7913617491722107,0.7903891205787659,0.7742041349411011,-0.060660481452941895,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10873327404260635,"","","PRUNED"
13,0.11298071593046188,"2025-05-16 21:05:49.249464","2025-05-16 21:05:49.682980","0 days 00:00:00.433516",48,80.0,"","","",96,128.0,16.0,160.0,"","add",0.0005100683776419919,2,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.19612158834934235,75.60871887207031,0.7237467765808105,0.7408688068389893,0.7728962898254395,-0.7278612852096558,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11298071593046188,"","","PRUNED"
14,0.1108233779668808,"2025-05-16 21:05:49.683270","2025-05-16 21:05:52.581002","0 days 00:00:02.897732",80,"","","","",64,48.0,96.0,"","","add",0.004252251171235597,1,3,"","","","","","",0.13444894552230835,786.042236328125,0.27490895986557007,0.4281519055366516,0.5296743512153625,0.17524981498718262,0.11218270659446716,520.08154296875,0.23870158195495605,0.28667470812797546,0.5989110469818115,0.3091140389442444,0.18547731637954712,296.69146728515625,1.0,0.942484974861145,0.7384280562400818,0.12254852056503296,0.17177356779575348,60.904293060302734,0.8386346697807312,0.7739600539207458,0.8575819134712219,-0.2649749517440796,0.10800055414438248,132.3135986328125,0.9478310346603394,0.8158543705940247,0.7251996994018555,0.12567895650863647,0.10646822303533554,89.66572570800781,0.8579565286636353,0.8522825241088867,0.8476892113685608,0.10137039422988892,0.22777585685253143,164.0155792236328,0.9279630780220032,0.8617764711380005,0.771237313747406,-0.2265949249267578,"","","","","","",0.1787249594926834,66.15322875976562,0.8560279011726379,0.7337687611579895,0.7674062848091125,-0.5732090473175049,0.2356548309326172,4006.489501953125,0.6005356907844543,0.5386376976966858,0.8061907887458801,-0.2459651231765747,0.10181058943271637,69.73633575439453,0.8814632892608643,0.8302030563354492,0.8310470581054688,0.48775047063827515,0.12330454587936401,54.1729850769043,0.4672533869743347,0.5159515142440796,0.7390136122703552,0.09091240167617798,0.08185714483261108,10212.451171875,0.7771113514900208,0.6900521516799927,0.7187923192977905,0.1714334487915039,0.10623419284820557,576.59814453125,0.1709645688533783,0.16384854912757874,0.16060371696949005,-0.19172048568725586,0.13671864569187164,249.57028198242188,0.9254707098007202,0.8338961005210876,0.7960777878761292,0.1856604814529419,0.30971086025238037,5759.001953125,0.023501001298427582,0.022417671978473663,0.020584769546985626,-8.14553451538086,0.17103217542171478,544.306640625,0.24101361632347107,0.37567374110221863,0.5555795431137085,-0.02056145668029785,"",0.10343779623508453,0.10633132606744766,0.1108233779668808,"PRUNED"
15,0.33502963185310364,"2025-05-16 21:05:52.581339","2025-05-16 21:05:53.070833","0 days 00:00:00.489494",176,240.0,160.0,"","",160,192.0,224.0,16.0,"","add",0.0013230977862881265,3,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1379721760749817,48.13627624511719,0.8011438250541687,0.7911086082458496,0.8309046626091003,-0.07509803771972656,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.33502963185310364,"","","PRUNED"
16,0.1109161227941513,"2025-05-16 21:05:53.071167","2025-05-16 21:05:53.592286","0 days 00:00:00.521119",128,64.0,"","","",192,16.0,176.0,240.0,16.0,"mean",0.000464910958245474,2,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1703539937734604,63.03080368041992,0.7206430435180664,0.7248031497001648,0.7391183972358704,-0.4491877555847168,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1109161227941513,"","","PRUNED"
17,0.11991436034440994,"2025-05-16 21:05:53.592578","2025-05-16 21:05:53.945013","0 days 00:00:00.352435",64,"","","","",32,176.0,64.0,"","","add",0.07256062867855247,1,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0410897731781006,618.4827880859375,0.3079359233379364,0.3392367362976074,0.38500848412513733,-25.439098358154297,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11991436034440994,"","","PRUNED"
18,0.12082816660404205,"2025-05-16 21:05:53.945291","2025-05-16 21:05:54.311818","0 days 00:00:00.366527",160,192.0,"","","",128,96.0,"","","","add",0.00023907568513992992,2,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14260338246822357,46.31107711791992,0.8699774146080017,0.8369508981704712,0.8279385566711426,-0.21884655952453613,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12082816660404205,"","","PRUNED"
19,0.1213698461651802,"2025-05-16 21:05:54.312073","2025-05-16 21:05:54.837674","0 days 00:00:00.525601",112,80.0,16.0,256.0,"",96,224.0,128.0,112.0,"","mean",0.017057727493483214,4,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2023971974849701,80.80132293701172,0.31611117720603943,0.5514001250267029,0.6067285537719727,-0.7955756187438965,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1213698461651802,"","","PRUNED"
