"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_lr","params_n_decoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
0,0.15277349799871445,"2025-05-16 16:20:31.309927","2025-05-16 16:20:32.655343","0 days 00:00:01.345416",96,"","","","",0.018459551363409446,1,0.15277349799871445,565.0979713439941,0.2762939639079074,0.2893693809087078,0.3548566296696663,-0.17725554704666138,0.20160196721553802,285.6427307128906,0.18688145279884338,0.11392536014318466,0.12800970673561096,-0.15450096130371094,0.19704492390155792,88.57559204101562,0.13047562539577484,0.17223230004310608,0.17418348789215088,-0.4767721891403198,0.13010023534297943,245.86587524414062,0.2724415361881256,0.2848862111568451,0.3015857934951782,-0.07076859474182129,0.12054592370986938,78.26268005371094,0.23328615725040436,0.2108374834060669,0.21697618067264557,-0.23593556880950928,0.24490758776664734,208.41200256347656,0.23820464313030243,0.1663108766078949,0.20047594606876373,-0.3508526086807251,0.10383845120668411,153.1398468017578,0.28657105565071106,0.25713077187538147,0.2781568765640259,-0.04589283466339111,0.16137604415416718,59.53050231933594,0.4862750172615051,0.5360835790634155,0.6489672064781189,-0.37344133853912354,0.21245886385440826,2281.228271484375,0.5177310109138489,0.6224350333213806,0.7903923988342285,-0.13855063915252686,0.14542587101459503,76.40130615234375,0.25997135043144226,0.3411194384098053,0.5085743069648743,-0.34938013553619385,0.13789822161197662,59.248958587646484,0.4487413763999939,0.5676316022872925,0.6576555967330933,-0.03973114490509033,0.10816687345504761,598.801025390625,0.2580051124095917,0.27348944544792175,0.26560068130493164,-0.25975000858306885,0.10889725387096405,1543.4105224609375,0.006415389012545347,0.011283784173429012,0.04162224382162094,-0.07454204559326172,0.13558058440685272,382.9048156738281,0.1970493048429489,0.24127361178398132,0.4427449107170105,-0.030266880989074707,0.13268521428108215,459.4352111816406,0.5877392888069153,0.5052925944328308,0.5081703662872314,0.04100435972213745,0.15107445418834686,1955.6102294921875,0.034621138125658035,0.03660862147808075,0.15973374247550964,-0.09945261478424072,10.0,"","","COMPLETE"
1,0.1519893079996109,"2025-05-16 16:20:32.655702","2025-05-16 16:20:34.543981","0 days 00:00:01.888279",224,176.0,"","","",0.028176246580815002,2,0.1519893079996109,476.21351064046223,0.24804670736193657,0.2771583986779054,0.3459007298573852,-0.2490453322728475,0.20367616415023804,306.7485046386719,0.20155633985996246,0.13517391681671143,0.16564758121967316,-0.13791847229003906,0.19208374619483948,116.10498046875,0.11929044127464294,0.17197361588478088,0.176301047205925,-0.28705286979675293,0.1164950579404831,104.57647705078125,0.18742690980434418,0.28259921073913574,0.2967640161514282,-0.25503265857696533,0.13027474284172058,105.6365737915039,0.07338909804821014,0.09622575342655182,0.1538313329219818,-0.24968481063842773,0.24484647810459137,116.38355255126953,0.4681253135204315,0.6776140928268433,0.5763584971427917,-0.4902695417404175,0.10866998881101608,82.21315002441406,0.16633036732673645,0.3710179030895233,0.43047839403152466,-0.3175095319747925,0.16514480113983154,62.079437255859375,0.4938931465148926,0.5343540906906128,0.598605215549469,-0.38941264152526855,0.21407251060009003,1288.84814453125,0.5616838932037354,0.40270331501960754,0.723856508731842,-0.353320837020874,0.1507013589143753,65.969482421875,0.1838066428899765,0.2235608994960785,0.4932025969028473,-0.6346012353897095,0.15015363693237305,62.72978973388672,0.6551130414009094,0.6325017213821411,0.6449646949768066,-0.2222665548324585,0.10338302701711655,808.4852294921875,0.19721753895282745,0.2206767499446869,0.265832781791687,-0.029506683349609375,0.11968131363391876,1902.966552734375,0.01697789691388607,0.00923118181526661,0.01368717197328806,-0.0756303071975708,0.12631312012672424,302.34564208984375,0.1929292529821396,0.17804193496704102,0.2638821005821228,-0.1419442892074585,0.12515871226787567,357.5215148925781,0.17855799198150635,0.1929423213005066,0.3449734151363373,-0.0983496904373169,0.12918496131896973,1460.5936279296875,0.024402735754847527,0.028759272769093513,0.04012559354305267,-0.05317986011505127,10.0,0.13031043112277985,0.10824562609195709,"COMPLETE"
2,0.11375248432159424,"2025-05-16 16:20:34.544344","2025-05-16 16:20:35.078987","0 days 00:00:00.534643",96,112.0,"","","",0.000612081332073049,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.165957972407341,58.3017692565918,0.5828604102134705,0.6370142698287964,0.6221431493759155,-0.43923330307006836,0.21699941158294678,2324.6865234375,0.3486388325691223,0.42979636788368225,0.6701843738555908,-0.23988556861877441,0.14330199360847473,64.53097534179688,0.36752673983573914,0.5074751973152161,0.623699963092804,-0.384382963180542,0.14570006728172302,57.19173049926758,0.6388365626335144,0.6674712300300598,0.7114730477333069,-0.1708686351776123,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11253416538238525,0.11375248432159424,"PRUNED"
3,0.11094707995653152,"2025-05-16 16:20:35.079226","2025-05-16 16:20:35.523550","0 days 00:00:00.444324",112,"","","","",0.0028616922361549024,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16503430902957916,61.659175872802734,0.5958244204521179,0.5835211873054504,0.6620107293128967,-0.3884984254837036,0.215535968542099,2177.979736328125,0.4992009401321411,0.5860523581504822,0.7787299156188965,-0.22519516944885254,0.14099235832691193,67.57547760009766,0.20211708545684814,0.2656368911266327,0.43448731303215027,-0.39672768115997314,0.153040811419487,62.39673614501953,0.35568180680274963,0.38586196303367615,0.568746030330658,-0.3219197988510132,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11128924041986465,0.11094707995653152,"PRUNED"
4,0.10918013006448746,"2025-05-16 16:20:35.523779","2025-05-16 16:20:36.239404","0 days 00:00:00.715625",176,96.0,224.0,112.0,"",0.007355955179527398,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1523815244436264,60.451847076416016,0.5579788088798523,0.6197081208229065,0.6494517922401428,-0.16414260864257812,0.24137863516807556,3806.521484375,0.18159759044647217,0.37306472659111023,0.5698525309562683,-0.42862939834594727,0.14677278697490692,75.25495147705078,0.30028122663497925,0.47209084033966064,0.5880070924758911,-0.29018938541412354,0.1796657294034958,101.17266082763672,0.40329521894454956,0.4594030976295471,0.4716464579105377,-0.3838770389556885,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10320793092250824,0.10918013006448746,"PRUNED"
5,0.1178639754652977,"2025-05-16 16:20:36.239651","2025-05-16 16:20:36.401750","0 days 00:00:00.162099",16,"","","","",0.00580974167854834,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1746359020471573,66.78702545166016,0.7319155335426331,0.7050831913948059,0.6427795886993408,-0.45238518714904785,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1178639754652977,"","PRUNED"
6,0.13150392472743988,"2025-05-16 16:20:36.401966","2025-05-16 16:20:36.714619","0 days 00:00:00.312653",176,112.0,48.0,240.0,256.0,0.06666575536379205,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2029837816953659,73.83727264404297,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.9670478105545044,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13150392472743988,"","PRUNED"
7,0.1152268499135971,"2025-05-16 16:20:36.714849","2025-05-16 16:20:36.886893","0 days 00:00:00.172044",112,"","","","",0.0014195592774409209,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16844585537910461,62.318782806396484,0.5726892948150635,0.5916152000427246,0.6287106275558472,-0.43314945697784424,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1152268499135971,"","PRUNED"
8,0.11394476145505905,"2025-05-16 16:20:36.887136","2025-05-16 16:20:37.528361","0 days 00:00:00.641225",128,32.0,48.0,224.0,16.0,0.005103552328569888,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1712774932384491,65.51521301269531,0.508009135723114,0.4986461102962494,0.6429364085197449,-0.4402453899383545,0.22192317247390747,2959.237548828125,0.48990416526794434,0.5953202843666077,0.7790024876594543,-0.23518574237823486,0.15466637909412384,80.76541900634766,0.3782940208911896,0.4266968369483948,0.6350778937339783,-0.4404259920120239,0.15296849608421326,63.17311477661133,0.6786558032035828,0.645990252494812,0.6905694603919983,-0.18626165390014648,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10553082823753357,0.11394476145505905,"PRUNED"
9,0.12228795140981674,"2025-05-16 16:20:37.528612","2025-05-16 16:20:37.734184","0 days 00:00:00.205572",256,16.0,"","","",0.0008680403059118352,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16546307504177094,56.04463195800781,0.5328460335731506,0.5975300669670105,0.6244553923606873,-0.5071206092834473,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12228795140981674,"","PRUNED"
