"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_lr","params_n_decoder_layers","params_n_encoder_layers","params_transformer_dropout","params_transformer_heads","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
0,0.15060746570428213,"2025-05-16 16:11:06.360213","2025-05-16 16:11:10.996692","0 days 00:00:04.636479",144,192.0,48.0,96.0,176.0,144,16.0,"","",0.06382999867352328,5,2,0.30000000000000004,1,0.15060746570428213,390.60815912882487,0.2462010256946087,0.29975759809215863,0.3645697539672256,-0.3346909284591675,0.19529099762439728,224.44541931152344,0.37938931584358215,0.4339168965816498,0.3819175958633423,-0.18712294101715088,0.21502144634723663,63.71930694580078,0.38391774892807007,0.4002876281738281,0.3655586540699005,-0.7530364990234375,0.12188026309013367,87.48045349121094,0.18742690980434418,0.28259921073913574,0.2967640161514282,-0.35637807846069336,0.13230901956558228,63.530029296875,0.42674726247787476,0.3965179920196533,0.4997186064720154,-0.4381355047225952,0.24156224727630615,135.13055419921875,0.4681253135204315,0.6776140928268433,0.5763584971427917,-0.43039464950561523,0.11775636672973633,71.475341796875,0.16633036732673645,0.3710179030895233,0.43047839403152466,-0.4758150577545166,0.13432848453521729,37.757083892822266,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.36875593662261963,0.2130199819803238,1465.97705078125,0.5616838932037354,0.40270331501960754,0.723856508731842,-0.31172215938568115,0.14772604405879974,55.88949203491211,0.15729229152202606,0.44170698523521423,0.5248095989227295,-0.5627739429473877,0.1650494635105133,55.341251373291016,0.14052796363830566,0.1728532761335373,0.4216603934764862,-0.5575007200241089,0.10384142398834229,583.87744140625,0.10077051818370819,0.16893522441387177,0.19974727928638458,-0.13812780380249023,0.09589871764183044,1298.486083984375,0.01697789691388607,0.00923118181526661,0.01368717197328806,-0.0028494596481323242,0.1279207170009613,215.5244140625,0.1929292529821396,0.17804193496704102,0.2638821005821228,-0.22275090217590332,0.12287396937608719,295.63983154296875,0.17855799198150635,0.1929423213005066,0.3449734151363373,-0.13497328758239746,0.12463284283876419,1204.8486328125,0.024402735754847527,0.028759272769093513,0.04012559354305267,-0.08002698421478271,10.0,"","","COMPLETE"
1,38.29285378307104,"2025-05-16 16:11:10.997165","2025-05-16 16:11:59.345470","0 days 00:00:48.348305",112,160.0,32.0,"","",176,160.0,176.0,160.0,0.07999996278182392,3,4,0.1,10,38.29285378307104,134516.24894409179,0.29127875789999963,0.33373356784383457,0.40384182588507733,-402587.97743097943,0.19947078824043274,132.2474822998047,0.37938931584358215,0.4339168965816498,0.3819175958633423,-0.3659093379974365,2.8501734733581543,2241.636962890625,0.2436128407716751,0.32104411721229553,0.3148497939109802,-190.98577880859375,0.1580466479063034,98.0338134765625,0.18742690980434418,0.28259921073913574,0.2967640161514282,-0.7788224220275879,0.1284443885087967,65.36480712890625,0.42674726247787476,0.3965179920196533,0.4997186064720154,-0.382409930229187,0.2454765886068344,113.65167999267578,0.4681253135204315,0.6776140928268433,0.5763584971427917,-0.4998897314071655,211.64181518554688,344640.5625,0.2728603482246399,0.33100834488868713,0.35751041769981384,-1778517.5,21.648536682128906,15861.6533203125,0.766203761100769,0.7172297239303589,0.7995052933692932,-13087.8212890625,0.21957115828990936,677.4552612304688,0.5616838932037354,0.40270331501960754,0.723856508731842,-0.51788330078125,0.14756682515144348,55.87575912475586,0.15729229152202606,0.44170698523521423,0.5248095989227295,-0.5606482028961182,0.1359287053346634,48.5092887878418,0.14052796363830566,0.1728532761335373,0.4216603934764862,-0.29057562351226807,9.888623237609863,70421.9140625,0.42334553599357605,0.4564265310764313,0.5857494473457336,-6645.16455078125,0.12249755859375,1970.4805908203125,0.01697789691388607,0.00923118181526661,0.01368717197328806,-0.08982217311859131,326.7575988769531,1579828.375,0.12202730774879456,0.14145025610923767,0.17614103853702545,-4240374.5,0.1229480728507042,298.08837890625,0.17855799198150635,0.1929423213005066,0.3449734151363373,-0.13339805603027344,0.1261085569858551,1289.88525390625,0.024402735754847527,0.028759272769093513,0.04012559354305267,-0.07048726081848145,10.0,0.1324741244316101,42.8704948425293,"COMPLETE"
2,0.10764622390270233,"2025-05-16 16:11:59.345962","2025-05-16 16:12:09.191312","0 days 00:00:09.845350",240,112.0,"","","",176,"","","",0.0008846806884878922,2,1,0.2,9,0.10764622390270233,470.8720367431641,0.8184218366940816,0.8076965689659119,0.7980624079704285,0.41198652386665346,0.15210267901420593,207.45077514648438,1.0,0.9996713995933533,0.8515774011611938,0.3618648052215576,0.10521586984395981,54.93943786621094,1.0,1.0,0.9074651598930359,0.6156807541847229,0.09827905148267746,85.36270141601562,1.0,0.8693546652793884,0.808168351650238,0.3037554621696472,0.08463140577077866,66.34544372558594,0.9166083931922913,0.861405611038208,0.8344584107398987,0.5403232276439667,0.14224866032600403,153.4674072265625,1.0,1.0,0.9608021378517151,0.5940180718898773,0.07594024389982224,79.59667205810547,0.901528000831604,0.8286711573600769,0.8257512450218201,0.49219369888305664,0.10405341535806656,44.42716979980469,0.775945246219635,0.8048266768455505,0.8082574605941772,0.4424020051956177,0.1731829196214676,3583.265625,0.6308735609054565,0.6710830926895142,0.8492648005485535,0.190301775932312,0.09832350164651871,55.350337982177734,0.8744774460792542,0.8985264301300049,0.8692070841789246,0.4994391202926636,0.10636457800865173,52.68894577026367,0.6751647591590881,0.7417651414871216,0.8021842241287231,0.43986183404922485,0.09805767238140106,522.644775390625,0.2346627116203308,0.27458494901657104,0.4284006953239441,-0.07991743087768555,0.060273706912994385,589.8511962890625,1.0,1.0,0.8170369267463684,0.48566699028015137,0.12380655109882355,348.1819763183594,0.71254563331604,0.6975963711738586,0.6561558842658997,0.30300837755203247,0.1146734282374382,464.6925354003906,0.6466928720474243,0.6414715051651001,0.6870468258857727,0.3350416421890259,0.07753967493772507,754.8155517578125,0.9078289270401001,0.8264915347099304,0.8651595115661621,0.656157523393631,10.0,0.08595618605613708,0.08497272431850433,"COMPLETE"
3,0.10156197970112164,"2025-05-16 16:12:09.191717","2025-05-16 16:12:18.223004","0 days 00:00:09.031287",96,112.0,"","","",112,192.0,208.0,128.0,0.0002998938701949107,2,4,0.2,2,0.10156197970112164,270.01040369669596,0.8066647251447042,0.7979995965957641,0.7931562781333923,0.35323711633682253,0.14787572622299194,157.42510986328125,1.0,1.0,0.8260465860366821,0.24283117055892944,0.1047946885228157,54.821311950683594,1.0,1.0,0.9090380668640137,0.5947044491767883,0.09311165660619736,103.83531188964844,1.0,0.8295333385467529,0.7530311346054077,0.33268314599990845,0.08313318341970444,61.416648864746094,0.9191439151763916,0.8676800727844238,0.8325449824333191,0.5099931061267853,0.1411135494709015,114.9417724609375,1.0,1.0,0.9628441333770752,0.4858574867248535,0.07420555502176285,78.7580337524414,0.8921757340431213,0.8403826355934143,0.8186997175216675,0.4543271064758301,0.09827862679958344,38.059898376464844,0.7006012797355652,0.7813131809234619,0.8019726872444153,0.3643794059753418,0.16501429677009583,1605.3009033203125,0.696406364440918,0.6207686066627502,0.8463239669799805,0.08164840936660767,0.08157173544168472,49.05009841918945,0.8986055850982666,0.8857426643371582,0.8704700469970703,0.5603816509246826,0.09747136384248734,39.9119873046875,0.6295602917671204,0.6992670893669128,0.8053006529808044,0.31600630283355713,0.0919094979763031,518.7032470703125,0.3927015960216522,0.4419559836387634,0.5337742567062378,0.05738425254821777,0.05061126872897148,323.00140380859375,1.0,1.0,0.8118758797645569,0.4171859622001648,0.11341895908117294,225.0455322265625,0.6136820912361145,0.6165258288383484,0.6670554280281067,0.12758678197860718,0.11275646090507507,315.1705627441406,0.44503918290138245,0.5164321660995483,0.5786386132240295,0.11870914697647095,0.06816312670707703,364.7142333984375,0.9120548367500305,0.870392382144928,0.8797280192375183,0.6348783671855927,10.0,0.08190913498401642,0.08357962965965271,"COMPLETE"
4,0.08356688171625137,"2025-05-16 16:12:18.223435","2025-05-16 16:12:18.825258","0 days 00:00:00.601823",208,240.0,64.0,16.0,112.0,32,"","","",0.004352019830600711,5,1,0.4,10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09712962806224823,40.654239654541016,0.7274875044822693,0.7938217520713806,0.8150345683097839,0.48452281951904297,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08356688171625137,"","PRUNED"
5,0.08612596243619919,"2025-05-16 16:12:18.825539","2025-05-16 16:12:19.453122","0 days 00:00:00.627583",160,80.0,64.0,16.0,"",192,48.0,"","",0.0005543351275275675,4,2,0.30000000000000004,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17201955616474152,66.2538070678711,0.7574071884155273,0.7541845440864563,0.7789453864097595,-0.3826122283935547,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08612596243619919,"","PRUNED"
6,0.08670404553413391,"2025-05-16 16:12:19.453389","2025-05-16 16:12:19.908248","0 days 00:00:00.454859",48,144.0,224.0,208.0,"",16,"","","",0.01096323963373837,4,1,0.4,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1119890809059143,47.10420227050781,0.7338767647743225,0.7983459234237671,0.8256910443305969,0.35411536693573,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08670404553413391,"","PRUNED"
7,0.10156805838147799,"2025-05-16 16:12:19.908551","2025-05-16 16:12:33.118951","0 days 00:00:13.210400",176,"","","","",64,128.0,112.0,"",0.00011911498057668945,1,3,0.0,7,0.10156805838147799,346.7778081258138,0.8088956634203593,0.7973115265369415,0.7952311555544536,0.39798677364985147,0.1461191326379776,175.86410522460938,1.0,1.0,0.8260183334350586,0.308265745639801,0.10055020451545715,55.68578338623047,1.0,1.0,0.9156372547149658,0.620331734418869,0.0925258919596672,111.63294219970703,1.0,0.8684298396110535,0.780769407749176,0.3808332085609436,0.08152543008327484,62.898380279541016,0.9191439151763916,0.8530062437057495,0.8114537596702576,0.5284443795681,0.1355777531862259,119.84962463378906,1.0,1.0,0.9628441333770752,0.5374102294445038,0.07427849620580673,83.08180236816406,0.902854323387146,0.841159462928772,0.8201616406440735,0.4855755567550659,0.0961051881313324,37.40724182128906,0.7427001595497131,0.7754762172698975,0.8293910622596741,0.42703890800476074,0.16626819968223572,2325.097412109375,0.696406364440918,0.6205337643623352,0.8443569540977478,0.14356857538223267,0.08337379992008209,50.06113052368164,0.876351535320282,0.8917841911315918,0.8755794167518616,0.5623825192451477,0.09786771982908249,42.54035949707031,0.649993896484375,0.7139068245887756,0.8084470629692078,0.40117424726486206,0.0940152108669281,571.7274780273438,0.35385850071907043,0.3872140645980835,0.5045807361602783,0.05152064561843872,0.053725045174360275,436.0507507324219,1.0,1.0,0.8120699524879456,0.4461752772331238,0.11494909971952438,312.9669494628906,0.6061978936195374,0.6766762137413025,0.6701937317848206,0.24939149618148804,0.11646764725446701,380.5723571777344,0.4591553509235382,0.4756776988506317,0.6016669273376465,0.1841801404953003,0.07017205655574799,436.2308044433594,0.9267730116844177,0.8558083772659302,0.8652969598770142,0.6435089409351349,10.0,0.08011491596698761,0.07994773238897324,"COMPLETE"
8,0.08214051276445389,"2025-05-16 16:12:33.119381","2025-05-16 16:12:35.711221","0 days 00:00:02.591840",112,96.0,"","","",128,48.0,208.0,"",0.0014712379138266522,2,3,0.1,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10050609707832336,41.0501594543457,0.7419900894165039,0.7813131809234619,0.8036019802093506,0.35276275873184204,0.17422790825366974,2480.677978515625,0.6264908909797668,0.6423553824424744,0.8343160152435303,0.08305662870407104,0.08466126024723053,48.724369049072266,0.8997347950935364,0.892668604850769,0.8605397939682007,0.5532570779323578,0.10134227573871613,50.23873519897461,0.6821471452713013,0.7705004811286926,0.7943719029426575,0.4384077191352844,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07980842143297195,0.08214051276445389,"PRUNED"
9,0.08017115294933319,"2025-05-16 16:12:35.711495","2025-05-16 16:12:37.374438","0 days 00:00:01.662943",80,"","","","",128,64.0,128.0,208.0,0.0005489458278807844,1,4,0.0,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09663154184818268,37.67298126220703,0.7154433131217957,0.7280584573745728,0.7855107188224792,0.340445876121521,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08017115294933319,"","PRUNED"
