"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
0,0.2791832188765208,"2025-05-16 15:30:36.763763","2025-05-16 15:30:43.561724","0 days 00:00:06.797961",224,240.0,240.0,"","",224,208.0,208.0,144.0,"",0.03695576880207699,3,4,0.2791832188765208,592.0133763631185,0.39712299555540087,0.3941895072658857,0.43195702532927194,-71.08822504679362,0.20361874997615814,108.34534454345703,0.17079702019691467,0.17304764688014984,0.169948011636734,-0.4315924644470215,0.22430573403835297,67.2670669555664,0.9171757102012634,0.7745426893234253,0.6058363914489746,-0.8348129987716675,0.12022832036018372,91.63983917236328,0.18742690980434418,0.28259921073913574,0.2967640161514282,-0.32785916328430176,0.11822684109210968,84.96663665771484,0.8399487137794495,0.681586742401123,0.5993871092796326,-0.16533470153808594,0.23863142728805542,217.19593811035156,0.35987141728401184,0.3055104911327362,0.2642062306404114,-0.26655519008636475,0.17285294830799103,126.05513000488281,0.07328630238771439,0.10957173258066177,0.2135320007801056,-1.1757233142852783,1.6728918552398682,1023.6680908203125,0.4820053279399872,0.5224484801292419,0.5120797157287598,-1058.3809814453125,0.21289443969726562,1108.434326171875,0.6569501161575317,0.7429904341697693,0.8535932302474976,-0.3611642122268677,0.1508387178182602,61.038917541503906,0.20616111159324646,0.254387766122818,0.4895573854446411,-0.5761213302612305,0.1964980959892273,78.33541870117188,0.14052796363830566,0.1728532761335373,0.4216603934764862,-0.8106026649475098,0.10459491610527039,742.9835815429688,0.15510790050029755,0.19303585588932037,0.35376113653182983,-0.04927182197570801,0.15562015771865845,2730.087158203125,0.11497217416763306,0.18489858508110046,0.2226131707429886,-0.3316839933395386,0.300001323223114,1066.758056640625,0.943736732006073,0.7202467322349548,0.6764217019081116,-1.7848286628723145,0.19428713619709015,373.0705871582031,0.5512712597846985,0.6352666616439819,0.5806536078453064,-0.7127784490585327,0.12225762009620667,1000.3545532226562,0.15760627388954163,0.15985630452632904,0.21934127807617188,-0.11406528949737549,5.0,"","","COMPLETE"
1,0.14503833502531052,"2025-05-16 15:30:43.562190","2025-05-16 15:30:50.701941","0 days 00:00:07.139751",160,32.0,240.0,160.0,"",112,208.0,48.0,80.0,80.0,0.0026217977538477255,4,5,0.14503833502531052,360.3834053039551,0.36936768249919016,0.3785780074695746,0.4467532475789388,-0.19631303151448568,0.19640181958675385,251.2268829345703,0.034939415752887726,0.08866800367832184,0.13187798857688904,-0.15587806701660156,0.18367427587509155,63.36573791503906,0.08708522468805313,0.10952378064393997,0.19481804966926575,-0.4232332706451416,0.11491456627845764,183.0530242919922,0.041079726070165634,0.12798559665679932,0.18875400722026825,-0.0395430326461792,0.11909683048725128,87.75995635986328,0.09845970571041107,0.13132087886333466,0.2399769425392151,-0.18525266647338867,0.23533475399017334,191.94851684570312,1.0,0.9973689913749695,0.9290398359298706,-0.27192461490631104,0.10172934830188751,139.977783203125,0.28359460830688477,0.32157087326049805,0.32985731959342957,-0.03853332996368408,0.1397654414176941,42.441158294677734,0.606562614440918,0.5424759387969971,0.576301097869873,-0.36063504219055176,0.21550141274929047,1204.995849609375,0.20433829724788666,0.3787361681461334,0.6172831058502197,-0.41773366928100586,0.16730625927448273,73.87163543701172,0.6706074476242065,0.6075242161750793,0.6861681938171387,-0.643812894821167,0.135689839720726,68.23468017578125,0.6378793120384216,0.5654351115226746,0.6082685589790344,-0.06055092811584473,0.10347454249858856,244.02261352539062,0.22415363788604736,0.24824917316436768,0.36666327714920044,-0.34003400802612305,0.08355160057544708,1037.400390625,0.00937874335795641,0.02230926975607872,0.1190074235200882,0.06211113929748535,0.12971042096614838,468.5757751464844,0.3479554057121277,0.32397013902664185,0.33515819907188416,-0.04365122318267822,0.13336937129497528,521.471435546875,0.31374019384384155,0.4566367268562317,0.5424456596374512,-0.004996299743652344,0.11605454236268997,827.4056396484375,0.9807409048080444,0.7568952441215515,0.8356790542602539,-0.021027565002441406,5.0,0.11556598544120789,0.11591557413339615,"COMPLETE"
2,0.15269232193628948,"2025-05-16 15:30:50.702377","2025-05-16 15:30:53.764635","0 days 00:00:03.062258",224,48.0,"","","",240,"","","","",0.0017862088709348983,2,1,0.15269232193628948,675.5258761088054,0.4375504379471143,0.4320800468325615,0.473104523619016,-0.09628897110621135,0.20071373879909515,282.6420593261719,0.19584989547729492,0.17021748423576355,0.16289077699184418,-0.16581416130065918,0.18405874073505402,64.97379302978516,0.29457104206085205,0.26623064279556274,0.3689066767692566,-0.4291285276412964,0.12840378284454346,244.35531616210938,0.08444467931985855,0.10082849115133286,0.12107843160629272,-0.06265723705291748,0.12041033059358597,82.21188354492188,0.24511997401714325,0.20918716490268707,0.2612885534763336,-0.22041642665863037,0.24120426177978516,194.72235107421875,0.35219359397888184,0.2922041714191437,0.3013734221458435,-0.3400578498840332,0.12034742534160614,225.22828674316406,0.1632053554058075,0.19090726971626282,0.28662577271461487,-0.057225942611694336,0.16589902341365814,59.81484603881836,0.759631872177124,0.7420145869255066,0.7288408279418945,-0.39126062393188477,0.19975578784942627,1246.8936767578125,0.6203693747520447,0.7480693459510803,0.8492744565010071,-0.09906554222106934,0.1375148743391037,71.69686126708984,0.8047044277191162,0.7018916010856628,0.7045068740844727,-0.029117226600646973,0.12964946031570435,74.8931655883789,0.8821178674697876,0.714924693107605,0.8030737042427063,0.2919335961341858,0.10516317933797836,583.5421752929688,0.3853227198123932,0.33133670687675476,0.3876210153102875,-0.11399853229522705,0.09626977145671844,1148.4530029296875,0.17228280007839203,0.27023622393608093,0.23543527722358704,0.019110262393951416,0.12680837512016296,344.0572204589844,0.4615447223186493,0.42428654432296753,0.5791541934013367,0.08819317817687988,0.12649182975292206,530.1251831054688,0.36074504256248474,0.5269352793693542,0.5790694952011108,0.10197323560714722,0.20769424736499786,4979.2783203125,0.7811532020568848,0.7919304966926575,0.7274283766746521,-0.03680276870727539,5.0,0.1094328910112381,0.1143282800912857,"COMPLETE"
3,0.1301373541355133,"2025-05-16 15:30:53.765038","2025-05-16 15:30:54.212602","0 days 00:00:00.447564",192,256.0,16.0,"","",224,"","","","",0.017315593030704585,3,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15814708173274994,58.07370376586914,0.7873436212539673,0.6885053515434265,0.7264630794525146,-0.2761877775192261,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1301373541355133,"","PRUNED"
4,0.11606213450431824,"2025-05-16 15:30:54.212861","2025-05-16 15:30:54.865803","0 days 00:00:00.652942",224,128.0,208.0,176.0,144.0,80,192.0,"","","",0.01811677391403126,5,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16202685236930847,54.516292572021484,0.6316746473312378,0.6345021724700928,0.6795927882194519,-0.4905734062194824,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11606213450431824,"","PRUNED"
5,0.11834947019815445,"2025-05-16 15:30:54.866087","2025-05-16 15:30:55.590413","0 days 00:00:00.724326",128,192.0,128.0,208.0,"",144,64.0,240.0,"","",0.0003548943581663149,4,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17638085782527924,62.071388244628906,0.6129902601242065,0.5434560179710388,0.6079716086387634,-0.6122019290924072,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11834947019815445,"","PRUNED"
6,0.11281778663396835,"2025-05-16 15:30:55.590665","2025-05-16 15:30:56.458670","0 days 00:00:00.868005",144,224.0,"","","",192,32.0,112.0,64.0,144.0,0.002070405060217321,2,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15086832642555237,49.828495025634766,0.8391454815864563,0.7532413601875305,0.7496936321258545,-0.3563767671585083,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11281778663396835,"","PRUNED"
7,0.11333101987838745,"2025-05-16 15:30:56.458924","2025-05-16 15:30:57.033695","0 days 00:00:00.574771",96,144.0,144.0,224.0,"",160,160.0,"","","",0.0013777474812196727,4,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16547489166259766,58.9244499206543,0.4411869943141937,0.5317484736442566,0.6550614237785339,-0.44527578353881836,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11333101987838745,"","PRUNED"
8,0.11443580687046051,"2025-05-16 15:30:57.033946","2025-05-16 15:30:57.886918","0 days 00:00:00.852972",64,"","","","",208,192.0,256.0,112.0,224.0,0.0004143090066412379,1,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15388967096805573,52.167762756347656,0.5785680413246155,0.6396857500076294,0.6530055999755859,-0.36078810691833496,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11443580687046051,"","PRUNED"
9,0.11614938080310822,"2025-05-16 15:30:57.887172","2025-05-16 15:30:58.836728","0 days 00:00:00.949556",128,256.0,192.0,48.0,112.0,96,80.0,240.0,48.0,176.0,0.00039027608174118045,5,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1882624328136444,68.6213150024414,0.3481217920780182,0.37058916687965393,0.5563147664070129,-0.7489423751831055,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11614938080310822,"","PRUNED"
